urad	rozpocet
ministerstva práce a sociálních věcí	533282710722
ministerstva školství, mládeže a tělovýchovy	135904523416
ministerstva vnitra	55071981661
ministerstva zemědělství	53755293193
ministerstva obrany	43783137234
ministerstva průmyslu a obchodu	38725936500
ministerstva dopravy	35740529350
ministerstva spravedlnosti	23392507109
ministerstva financí	17288182978
ministerstva pro místní rozvoj	14793393355
ministerstva kultury	10889523999
ministerstva životního prostředí	9411906545
ministerstva zdravotnictví	6801226486
ministerstva zahraničních věcí	6378802385
Akademie věd České republiky	4522355819
Grantové agentury České republiky	3683086907
Technologické agentury České republiky	2864898160
Českého úřadu zeměměřického a katastrálního	2827606698
Správy státních hmotných rezerv	2246616853
Bezpečnostní informační služby	1207324000
Poslanecké sněmovny Parlamentu	1068103340
Českého statistického úřadu	928609440
Úřadu vlády České republiky	888818264
Český telekomunikační úřad	770413586
Senátu Parlamentu	519447409
Nejvyššího kontrolního úřadu	507428172
Kanceláře prezidenta republiky	386787764
Státního úřadu pro jadernou bezpečnost	360657028
Národního bezpečnostního úřadu	325636636
Generální inspekce bezpečnostních sborů	267631978
Energetického regulačního úřadu	238216789
Úřadu pro ochranu hospodářské soutěže	237335429
Úřadu průmyslového vlastnictví	168019930
Ústavního soudu	167425239
Ústavu pro studium totalitních režimů	163145865
Úřadu pro ochranu osobních údajů	148848507
Českého báňského úřadu	136701530
Kanceláře veřejného ochránce práv	111225036
Rady pro rozhlasové a televizní vysílání	54816604
